Country/area,Technology,Grid connection,Year,Installed electricity capacity by country/area (MW)
Canada,Solid biofuels,Off-grid,2008,..
Canada,Solid biofuels,Off-grid,2009,..
Canada,Solid biofuels,Off-grid,2010,..
Canada,Solid biofuels,Off-grid,2011,..
Canada,Solid biofuels,Off-grid,2012,..
Canada,Solid biofuels,Off-grid,2013,..
Canada,Solid biofuels,Off-grid,2014,..
Canada,Solid biofuels,Off-grid,2015,..
Canada,Solid biofuels,Off-grid,2016,..
Canada,Solid biofuels,Off-grid,2017,..
Canada,Solid biofuels,Off-grid,2018,..
Canada,Solid biofuels,Off-grid,2019,..
Canada,Solid biofuels,Off-grid,2020,..
Canada,Solid biofuels,On-grid,2000,1227
Canada,Solid biofuels,On-grid,2001,1555
Canada,Solid biofuels,On-grid,2002,1655
Canada,Solid biofuels,On-grid,2003,1955
Canada,Solid biofuels,On-grid,2004,1897
Canada,Solid biofuels,On-grid,2005,1708
Canada,Solid biofuels,On-grid,2006,1715
Canada,Solid biofuels,On-grid,2007,1715
Canada,Solid biofuels,On-grid,2008,1639
Canada,Solid biofuels,On-grid,2009,1708
Canada,Solid biofuels,On-grid,2010,1773
Canada,Solid biofuels,On-grid,2011,1802
Canada,Solid biofuels,On-grid,2012,1858
Canada,Solid biofuels,On-grid,2013,1886
Canada,Solid biofuels,On-grid,2014,2342
Canada,Solid biofuels,On-grid,2015,2318
Canada,Solid biofuels,On-grid,2016,2385
Canada,Solid biofuels,On-grid,2017,2465
Canada,Solid biofuels,On-grid,2018,2477
Canada,Solid biofuels,On-grid,2019,2233
Canada,Solid biofuels,On-grid,2020,2233
Canada,Renewable municipal waste,Off-grid,2000,..
Canada,Renewable municipal waste,Off-grid,2001,..
Canada,Renewable municipal waste,Off-grid,2002,..
Canada,Renewable municipal waste,Off-grid,2003,..
Canada,Renewable municipal waste,Off-grid,2004,..
Canada,Renewable municipal waste,Off-grid,2005,..
Canada,Renewable municipal waste,Off-grid,2006,..
Canada,Renewable municipal waste,Off-grid,2007,..
Canada,Renewable municipal waste,Off-grid,2008,..
