country,technology,jobs (thousands),source,notes,year
Greece,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Greece,Others,,,,2020
Greece,Solar Heating / Cooling,1.8,EurObserv'ER (2020),,2020
Greece,Solar Photovoltaic,6.1,IRENA estimate,,2020
Greece,Solid Biomass,2.4,EurObserv'ER (2020),,2020
Greece,"Tide, Wave and Ocean Energy",,,,2020
Greece,Wind Energy,6.8,IRENA estimate,,2020
Guinea,All technologies,1,,,2020
Guinea,Biogas,,,,2020
Guinea,CSP,,,,2020
Guinea,Geothermal Energy,,,,2020
Guinea,Hydropower,,,,2020
Guinea,Liquid Biofuels,,,,2020
Guinea,Municipal and industrial waste,,,,2020
Guinea,Others,,,,2020
Guinea,Solar Heating / Cooling,,,,2020
Guinea,Solar Photovoltaic,1,IRENA estimate,,2020
Guinea,Solid Biomass,,,,2020
Guinea,"Tide, Wave and Ocean Energy",,,,2020
Guinea,Wind Energy,,,,2020
Hungary,All technologies,41.676,,,2020
Hungary,Biogas,0.7,EurObserv'ER (2020),,2020
Hungary,CSP,,,,2020
Hungary,Geothermal Energy,0.776,EurObserv'ER (2020),,2020
Hungary,Hydropower,0.1,EurObserv'ER (2020),,2020
Hungary,Liquid Biofuels,18,EurObserv'ER (2020),,2020
Hungary,Municipal and industrial waste,0.4,EurObserv'ER (2020),,2020
Hungary,Others,,,,2020
Hungary,Solar Heating / Cooling,0.2,EurObserv'ER (2020),,2020
Hungary,Solar Photovoltaic,8.9,IRENA estimate,,2020
Hungary,Solid Biomass,11.8,EurObserv'ER (2020),,2020
Hungary,"Tide, Wave and Ocean Energy",,,,2020
Hungary,Wind Energy,0.8,IRENA estimate,,2020
Iceland,All technologies,1.139,,,2020
Iceland,Biogas,,,,2020
Iceland,CSP,,,,2020
Iceland,Geothermal Energy,0.784,IRENA focal point,,2020
Iceland,Hydropower,0.347,IRENA focal point,,2020
Iceland,Liquid Biofuels,,,,2020
Iceland,Municipal and industrial waste,,,,2020
Iceland,Others,,,,2020
Iceland,Solar Heating / Cooling,,,,2020
Iceland,Solar Photovoltaic,,,,2020
Iceland,Solid Biomass,,,,2020
Iceland,"Tide, Wave and Ocean Energy",,,,2020
Iceland,Wind Energy,0.008,IRENA focal point,,2020
India,All technologies,725.783,,,2020
India,Biogas,85,MNRE and CII (2010),,2020
India,CSP,,,,2020
India,Geothermal Energy,,,,2020
India,Hydropower,319.538,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
India,Liquid Biofuels,35.055,Urbanchuk (2012),,2020
India,Municipal and industrial waste,,,,2020
India,Others,,,,2020
India,Solar Heating / Cooling,20.69,IRENA estimate,Based on employment factors and capacity data,2020
India,Solar Photovoltaic,163.5,IRENA estimate,"93,900 in on-gird and 69,600 in off-grid",2020
India,Solid Biomass,58,MNRE and CII (2010),,2020
India,"Tide, Wave and Ocean Energy",,,,2020
India,Wind Energy,44,IRENA estimate,Based on employment factors and capacity data,2020
Indonesia,All technologies,501.092,,,2020
Indonesia,Biogas,,,,2020
Indonesia,CSP,,,,2020
Indonesia,Geothermal Energy,7,Chevron Indonesia (2012),Only employed by Chevron,2020
Indonesia,Hydropower,18.492,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Indonesia,Liquid Biofuels,475.6,IRENA estimate,Employment factor based estimate,2020
Indonesia,Municipal and industrial waste,,,,2020
Indonesia,Others,,,,2020
Indonesia,Solar Heating / Cooling,,,,2020
Indonesia,Solar Photovoltaic,,,,2020
Indonesia,Solid Biomass,,,,2020
Indonesia,"Tide, Wave and Ocean Energy",,,,2020
Indonesia,Wind Energy,,,,2020
Iran,All technologies,75.205,,,2020
Iran,Biogas,,,,2020
Iran,CSP,,,,2020
Iran,Geothermal Energy,0.2,IRENA focal point,,2020
Iran,Hydropower,33.596,IRENA estimate,16.8k in Small Hydro.,2020
Iran,Liquid Biofuels,,,,2020
Iran,Municipal and industrial waste,0.604,IRENA focal point,,2020
Iran,Others,,,,2020
Iran,Solar Heating / Cooling,,,,2020
Iran,Solar Photovoltaic,28,IRENA focal point,,2020
Iran,Solid Biomass,0.528,IRENA focal point,,2020
Iran,"Tide, Wave and Ocean Energy",,,,2020
Iran,Wind Energy,12.277,IRENA focal point,,2020
Ireland,All technologies,8.325,,,2020
Ireland,Biogas,0.2,EurObserv'ER (2020),,2020
Ireland,CSP,,,,2020
Ireland,Geothermal Energy,0.125,EurObserv'ER (2020),,2020
Ireland,Hydropower,0.3,EurObserv'ER (2020),,2020
Ireland,Liquid Biofuels,0.2,EurObserv'ER (2020),,2020
Ireland,Municipal and industrial waste,1.6,EurObserv'ER (2020),,2020
Ireland,Others,,,,2020
Ireland,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Ireland,Solar Photovoltaic,0.2,IRENA estimate,,2020
Ireland,Solid Biomass,1.1,EurObserv'ER (2020),,2020
Ireland,"Tide, Wave and Ocean Energy",,,,2020
Ireland,Wind Energy,4.5,IRENA estimate,,2020
Israel,All technologies,5.87,,,2020
Israel,Biogas,0.02,IRENA focal point,,2020
Israel,CSP,0.1,IRENA focal point,,2020
Israel,Geothermal Energy,,,,2020
Israel,Hydropower,,,,2020
Israel,Liquid Biofuels,0.04,IRENA focal point,,2020
Israel,Municipal and industrial waste,0.15,IRENA focal point,,2020
Israel,Others,,,,2020
Israel,Solar Heating / Cooling,3.13,IRENA estimate,Based on employment factors and capacity data,2020
Israel,Solar Photovoltaic,2.28,IRENA estimate,Based on employment factors and capacity data,2020
Israel,Solid Biomass,0.04,IRENA focal point,,2020
Israel,"Tide, Wave and Ocean Energy",0.01,IRENA focal point,,2020
Israel,Wind Energy,0.1,IRENA focal point,,2020
Italy,All technologies,74.056,,,2020
Italy,Biogas,8.4,EurObserv'ER (2020),,2020
Italy,CSP,,,,2020
Italy,Geothermal Energy,2.219,EurObserv'ER (2020),,2020
Italy,Hydropower,7.286,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Italy,Liquid Biofuels,8.5,EurObserv'ER (2020),,2020
Italy,Municipal and industrial waste,2.4,EurObserv'ER (2020),,2020
Italy,Others,,,,2020
Italy,Solar Heating / Cooling,1.1,EurObserv'ER (2020),,2020
Italy,Solar Photovoltaic,13.351,IRENA estimate,,2020
Italy,Solid Biomass,24.4,EurObserv'ER (2020),,2020
Italy,"Tide, Wave and Ocean Energy",,,,2020
Italy,Wind Energy,6.4,IRENA estimate,,2020
Japan,All technologies,236.266,,,2020
Japan,Biogas,,,,2020
Japan,CSP,,,,2020
Japan,Geothermal Energy,0.214,IRENA estimate,,2020
Japan,Hydropower,8.186,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Japan,Liquid Biofuels,3.102,Urbanchuk (2012),,2020
Japan,Municipal and industrial waste,,,,2020
Japan,Others,,,,2020
Japan,Solar Heating / Cooling,0.591,IRENA estimate,Based on employment factors and capacity data,2020
Japan,Solar Photovoltaic,220,IRENA estimate,Based on capacity and manufacturing trends,2020
Japan,Solid Biomass,,,,2020
Japan,"Tide, Wave and Ocean Energy",,,,2020
Japan,Wind Energy,4.173,IRENA estimate,,2020
Jordan,All technologies,37.61,,,2020
Jordan,Biogas,,,,2020
Jordan,CSP,,,,2020
Jordan,Geothermal Energy,,,,2020
Jordan,Hydropower,,,,2020
Jordan,Liquid Biofuels,,,,2020
Jordan,Municipal and industrial waste,,,,2020
Jordan,Others,,,,2020
Jordan,Solar Heating / Cooling,11,IRENA focal point,Direct and indirect jobs.,2020
Jordan,Solar Photovoltaic,25.11,IRENA focal point,Direct jobs. Employment factor based.,2020
Jordan,Solid Biomass,,,,2020
Jordan,"Tide, Wave and Ocean Energy",,,,2020
Jordan,Wind Energy,1.5,IRENA focal point,Direct jobs. Employment factor based.,2020
Kazakhstan,All technologies,10.344,,,2020
Kazakhstan,Biogas,,,,2020
Kazakhstan,CSP,,,,2020
Kazakhstan,Geothermal Energy,,,,2020
Kazakhstan,Hydropower,2.744,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Kazakhstan,Liquid Biofuels,,,,2020
Kazakhstan,Municipal and industrial waste,,,,2020
Kazakhstan,Others,,,,2020
Kazakhstan,Solar Heating / Cooling,,,,2020
Kazakhstan,Solar Photovoltaic,5,IRENA estimate,Based on employment factors and capacity data,2020
Kazakhstan,Solid Biomass,,,,2020
Kazakhstan,"Tide, Wave and Ocean Energy",,,,2020
Kazakhstan,Wind Energy,2.6,IRENA estimate,Based on employment factors and capacity data,2020
Kenya,All technologies,0.919,,,2020
Kenya,Biogas,,,,2020
Kenya,CSP,,,,2020
Kenya,Geothermal Energy,0.53,IRENA estimate,,2020
Kenya,Hydropower,,,,2020
Kenya,Liquid Biofuels,,,,2020
Kenya,Municipal and industrial waste,,,,2020
Kenya,Others,,,,2020
Kenya,Solar Heating / Cooling,,,,2020
Kenya,Solar Photovoltaic,0.122,IRENA estimate,Based on employment factors and capacity data,2020
Kenya,Solid Biomass,,,,2020
Kenya,"Tide, Wave and Ocean Energy",,,,2020
Kenya,Wind Energy,0.267,IRENA estimate,Based on employment factors and capacity data,2020
Kyrgyzstan,All technologies,0.41,,,2020
Kyrgyzstan,Biogas,0.06,IRENA estimate,O&M jobs only,2020
Kyrgyzstan,CSP,,,,2020
Kyrgyzstan,Geothermal Energy,,,,2020
Kyrgyzstan,Hydropower,0.15,IRENA focal point,,2020
Kyrgyzstan,Liquid Biofuels,,,,2020
Kyrgyzstan,Municipal and industrial waste,,,,2020
Kyrgyzstan,Others,0.15,IRENA estimate,Equipment manufacturing for all renewables,2020
Kyrgyzstan,Solar Heating / Cooling,0.02,IRENA estimate,O&M jobs only,2020
Kyrgyzstan,Solar Photovoltaic,0.03,IRENA estimate,O&M jobs only,2020
Kyrgyzstan,Solid Biomass,,,,2020
Kyrgyzstan,"Tide, Wave and Ocean Energy",,,,2020
Kyrgyzstan,Wind Energy,,,,2020
Latvia,All technologies,39.602,,,2020
Latvia,Biogas,0.8,EurObserv'ER (2020),,2020
Latvia,CSP,,,,2020
Latvia,Geothermal Energy,0.102,EurObserv'ER (2020),,2020
Latvia,Hydropower,3.3,EurObserv'ER (2020),,2020
Latvia,Liquid Biofuels,4.9,EurObserv'ER (2020),,2020
Latvia,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Latvia,Others,,,,2020
Latvia,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Latvia,Solar Photovoltaic,5.8,IRENA estimate,,2020
Latvia,Solid Biomass,24.4,EurObserv'ER (2020),,2020
Latvia,"Tide, Wave and Ocean Energy",,,,2020
Latvia,Wind Energy,0.1,IRENA estimate,,2020
Lebanon,All technologies,1.071,,,2020
Lebanon,Biogas,,,,2020
Lebanon,CSP,,,,2020
Lebanon,Geothermal Energy,,,,2020
Lebanon,Hydropower,,,,2020
Lebanon,Liquid Biofuels,,,,2020
Lebanon,Municipal and industrial waste,,,,2020
Lebanon,Others,,,,2020
Lebanon,Solar Heating / Cooling,0.51,IRENA estimate,Based on employment factors and capacity data,2020
Lebanon,Solar Photovoltaic,0.531,IRENA focal point,,2020
Lebanon,Solid Biomass,0.02,IRENA focal point,,2020
Lebanon,"Tide, Wave and Ocean Energy",,,,2020
Lebanon,Wind Energy,0.01,IRENA estimate,,2020
Lesotho,All technologies,0.09,,,2020
Lesotho,Biogas,,,,2020
Lesotho,CSP,,,,2020
Lesotho,Geothermal Energy,,,,2020
Lesotho,Hydropower,,,,2020
Lesotho,Liquid Biofuels,,,,2020
Lesotho,Municipal and industrial waste,,,,2020
Lesotho,Others,,,,2020
Lesotho,Solar Heating / Cooling,,,,2020
Lesotho,Solar Photovoltaic,0.09,UNDP (2015),,2020
Lesotho,Solid Biomass,,,,2020
Lesotho,"Tide, Wave and Ocean Energy",,,,2020
Lesotho,Wind Energy,,,,2020
Libya,All technologies,0.5,,,2020
Libya,Biogas,,,,2020
Libya,CSP,,,,2020
Libya,Geothermal Energy,,,,2020
Libya,Hydropower,,,,2020
Libya,Liquid Biofuels,,,,2020
Libya,Municipal and industrial waste,,,,2020
Libya,Others,0.5,IRENA estimate,,2020
Libya,Solar Heating / Cooling,,,,2020
Libya,Solar Photovoltaic,,,,2020
Libya,Solid Biomass,,,,2020
Libya,"Tide, Wave and Ocean Energy",,,,2020
Libya,Wind Energy,,,,2020
Lithuania,All technologies,12.955,,,2020
Lithuania,Biogas,0.3,EurObserv'ER (2020),,2020
Lithuania,CSP,,,,2020
Lithuania,Geothermal Energy,0.105,EurObserv'ER (2020),,2020
Lithuania,Hydropower,0.6,EurObserv'ER (2020),,2020
Lithuania,Liquid Biofuels,6.1,EurObserv'ER (2020),,2020
Lithuania,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Lithuania,Others,,,,2020
Lithuania,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Lithuania,Solar Photovoltaic,2.4,IRENA estimate,,2020
Lithuania,Solid Biomass,2.7,EurObserv'ER (2020),,2020
Lithuania,"Tide, Wave and Ocean Energy",,,,2020
Lithuania,Wind Energy,0.55,IRENA estimate,,2020
Luxembourg,All technologies,1.83,,,2020
Luxembourg,Biogas,0.1,EurObserv'ER (2020),,2020
Luxembourg,CSP,,,,2020
Luxembourg,Geothermal Energy,0.13,EurObserv'ER (2020),,2020
Luxembourg,Hydropower,0.5,EurObserv'ER (2020),,2020
Luxembourg,Liquid Biofuels,0.1,EurObserv'ER (2020),,2020
Luxembourg,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Luxembourg,Others,,,,2020
Luxembourg,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Luxembourg,Solar Photovoltaic,0.4,IRENA estimate,,2020
Luxembourg,Solid Biomass,0.1,EurObserv'ER (2020),,2020
Luxembourg,"Tide, Wave and Ocean Energy",,,,2020
Luxembourg,Wind Energy,0.3,IRENA estimate,,2020
Malaysia,All technologies,144.796,,,2020
Malaysia,Biogas,3.712,IRENA focal point,Direct and indirect jobs.,2020
Malaysia,CSP,,,,2020
Malaysia,Geothermal Energy,,,,2020
Malaysia,Hydropower,6.722,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Malaysia,Liquid Biofuels,73.7,IRENA estimate,Employment factor based estimate,2020
Malaysia,Municipal and industrial waste,,,,2020
Malaysia,Others,,,,2020
Malaysia,Solar Heating / Cooling,,,,2020
Malaysia,Solar Photovoltaic,54.92,IRENA focal point,Direct and indirect jobs.,2020
Malaysia,Solid Biomass,5.742,IRENA focal point,Direct and indirect jobs.,2020
Malaysia,"Tide, Wave and Ocean Energy",,,,2020
Malaysia,Wind Energy,,,,2020
Mali,All technologies,1.9,,,2020
Mali,Biogas,,,,2020
Mali,CSP,,,,2020
Mali,Geothermal Energy,,,,2020
Mali,Hydropower,,,,2020
Mali,Liquid Biofuels,,,,2020
Mali,Municipal and industrial waste,,,,2020
Mali,Others,,,,2020
Mali,Solar Heating / Cooling,,,,2020
Mali,Solar Photovoltaic,1.9,IRENA estimate,Construction jobs of a 33 MW solar PV; Jobs in offgrid solar ,2020
Mali,Solid Biomass,,,,2020
Mali,"Tide, Wave and Ocean Energy",,,,2020
Mali,Wind Energy,,,,2020
Malta,All technologies,1.1,,,2020
Malta,Biogas,0.1,EurObserv'ER (2020),,2020
Malta,CSP,,,,2020
Malta,Geothermal Energy,0.1,EurObserv'ER (2020),,2020
Malta,Hydropower,0.1,EurObserv'ER (2020),,2020
Malta,Liquid Biofuels,0.1,EurObserv'ER (2020),,2020
Malta,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Malta,Others,,,,2020
Malta,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Malta,Solar Photovoltaic,0.3,IRENA estimate,,2020
Malta,Solid Biomass,0.1,EurObserv'ER (2020),,2020
Malta,"Tide, Wave and Ocean Energy",,,,2020
Malta,Wind Energy,0.1,IRENA estimate,,2020
Mauritius,All technologies,1.369375,,,2020
Mauritius,Biogas,,,,2020
Mauritius,CSP,,,,2020
Mauritius,Geothermal Energy,,,,2020
Mauritius,Hydropower,,,,2020
Mauritius,Liquid Biofuels,1.3,Investmauritius (2016),,2020
Mauritius,Municipal and industrial waste,,,,2020
Mauritius,Others,,,,2020
Mauritius,Solar Heating / Cooling,0.069375,IRENA estimate,Based on employment factors and capacity data,2020
Mauritius,Solar Photovoltaic,,,,2020
Mauritius,Solid Biomass,,,,2020
Mauritius,"Tide, Wave and Ocean Energy",,,,2020
Mauritius,Wind Energy,,,,2020
Mexico,All technologies,111.268,,,2020
Mexico,Biogas,0,IRENA focal point,,2020
Mexico,CSP,,,,2020
Mexico,Geothermal Energy,17.45,IRENA focal point,Direct & Indirect jobs based on I-O model,2020
Mexico,Hydropower,17.328,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Mexico,Liquid Biofuels,,,,2020
Mexico,Municipal and industrial waste,,,,2020
Mexico,Others,,,,2020
Mexico,Solar Heating / Cooling,4.66,IRENA estimate,Based on employment factors and capacity data,2020
Mexico,Solar Photovoltaic,34.49,IRENA focal point,Direct & Indirect jobs based on I-O model,2020
Mexico,Solid Biomass,11.34,IRENA focal point,"Includes biogas, Direct & Indirect jobs based on I-O model.",2020
Mexico,"Tide, Wave and Ocean Energy",,,,2020
Mexico,Wind Energy,26,IRENA focal point,Direct & Indirect jobs based on I-O model,2020
Moldova,All technologies,0.06,,,2020
Moldova,Biogas,,,,2020
Moldova,CSP,,,,2020
Moldova,Geothermal Energy,,,,2020
Moldova,Hydropower,,,,2020
Moldova,Liquid Biofuels,,,,2020
Moldova,Municipal and industrial waste,,,,2020
Moldova,Others,,,,2020
Moldova,Solar Heating / Cooling,,,,2020
Moldova,Solar Photovoltaic,,,,2020
Moldova,Solid Biomass,,,,2020
Moldova,Wind Energy,0.06,IRENA estimate,,2020
Mongolia,All technologies,0.312,,,2020
Mongolia,Biogas,,,,2020
Mongolia,CSP,,,,2020
Mongolia,Geothermal Energy,,,,2020
Mongolia,Hydropower,0.173,IRENA estimate,Direct Jobs only,2020
Mongolia,Liquid Biofuels,,,,2020
Mongolia,Municipal and industrial waste,,,,2020
Mongolia,Others,,,,2020
Mongolia,Solar Heating / Cooling,,,,2020
Mongolia,Solar Photovoltaic,0.039,IRENA estimate,Direct Jobs only.,2020
Mongolia,Solid Biomass,,,,2020
Mongolia,"Tide, Wave and Ocean Energy",,,,2020
Mongolia,Wind Energy,0.1,IRENA estimate,,2020
Montenegro,All technologies,0.9,,,2020
Montenegro,Biogas,,,,2020
Montenegro,CSP,,,,2020
Montenegro,Geothermal Energy,,,,2020
Montenegro,Hydropower,,,,2020
Montenegro,Liquid Biofuels,,,,2020
Montenegro,Municipal and industrial waste,,,,2020
Montenegro,Others,,,,2020
Montenegro,Solar Heating / Cooling,,,,2020
Montenegro,Solar Photovoltaic,,,,2020
Montenegro,Solid Biomass,,,,2020
Montenegro,Wind Energy,0.9,IRENA estimate,,2020
Morocco,All technologies,14.51825,,,2020
Morocco,Biogas,,,,2020
Morocco,CSP,1.8,Zawya (2015),,2020
Morocco,Geothermal Energy,,,,2020
Morocco,Hydropower,7.937,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Morocco,Liquid Biofuels,,,,2020
Morocco,Municipal and industrial waste,,,,2020
Morocco,Others,,,,2020
Morocco,Solar Heating / Cooling,0.28125,IRENA estimate,Based on employment factors and capacity data,2020
Morocco,Solar Photovoltaic,1,IRENA estimate,Based on employment factors and capacity data,2020
Morocco,Solid Biomass,,,,2020
Morocco,"Tide, Wave and Ocean Energy",,,,2020
Morocco,Wind Energy,3.5,IRENA estimate,Based on employment factors and capacity data,2020
Mozambique,All technologies,1.282,,,2020
Mozambique,Biogas,,,,2020
Mozambique,CSP,,,,2020
Mozambique,Geothermal Energy,,,,2020
Mozambique,Hydropower,,,,2020
Mozambique,Liquid Biofuels,1.272,Urbanchuk (2012),,2020
Mozambique,Municipal and industrial waste,,,,2020
Mozambique,Others,,,,2020
Mozambique,Solar Heating / Cooling,0.01,IRENA estimate,Based on employment factors and capacity data,2020
Mozambique,Solar Photovoltaic,,,,2020
Mozambique,Solid Biomass,,,,2020
Mozambique,"Tide, Wave and Ocean Energy",,,,2020
Mozambique,Wind Energy,,,,2020
Myanmar,All technologies,18.623,,,2020
Myanmar,Biogas,,,,2020
Myanmar,CSP,,,,2020
Myanmar,Geothermal Energy,,,,2020
Myanmar,Hydropower,18.623,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Myanmar,Liquid Biofuels,,,,2020
Myanmar,Municipal and industrial waste,,,,2020
Myanmar,Others,,,,2020
Myanmar,Solar Heating / Cooling,,,,2020
Myanmar,Solar Photovoltaic,,,,2020
Myanmar,Solid Biomass,,,,2020
Myanmar,"Tide, Wave and Ocean Energy",,,,2020
Myanmar,Wind Energy,,,,2020
Namibia,All technologies,0.51,,,2020
Namibia,Biogas,,,,2020
Namibia,CSP,,,,2020
Namibia,Geothermal Energy,,,,2020
Namibia,Hydropower,,,,2020
Namibia,Liquid Biofuels,,,,2020
Namibia,Municipal and industrial waste,,,,2020
Namibia,Others,,,,2020
Namibia,Solar Heating / Cooling,0.05,IRENA estimate,Based on employment factors and capacity data,2020
Namibia,Solar Photovoltaic,0.46,Solar-Inverter (2015),,2020
Namibia,Solid Biomass,,,,2020
Namibia,"Tide, Wave and Ocean Energy",,,,2020
Namibia,Wind Energy,,,,2020
Nepal,All technologies,11,,,2020
Nepal,Biogas,11,ADDCP (2009),,2020
Nepal,CSP,,,,2020
Nepal,Geothermal Energy,,,,2020
Nepal,Hydropower,,,,2020
Nepal,Liquid Biofuels,,,,2020
Nepal,Municipal and industrial waste,,,,2020
Nepal,Others,,,,2020
Nepal,Solar Heating / Cooling,,,,2020
Nepal,Solar Photovoltaic,,,,2020
Nepal,Solid Biomass,,,,2020
Nepal,"Tide, Wave and Ocean Energy",,,,2020
Nepal,Wind Energy,,,,2020
Netherlands,All technologies,57.417,,,2020
Netherlands,Biogas,0.7,EurObserv'ER (2020),,2020
Netherlands,CSP,,,,2020
Netherlands,Geothermal Energy,1.261,EurObserv'ER (2020),,2020
Netherlands,Hydropower,0.1,EurObserv'ER (2020),,2020
Netherlands,Liquid Biofuels,2.4,EurObserv'ER (2020),,2020
Netherlands,Municipal and industrial waste,3.4,EurObserv'ER (2020),,2020
Netherlands,Others,,,,2020
Netherlands,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Netherlands,Solar Photovoltaic,22,IRENA estimate,,2020
Netherlands,Solid Biomass,3.3,EurObserv'ER (2020),,2020
Netherlands,"Tide, Wave and Ocean Energy",,,,2020
Netherlands,Wind Energy,24.156,IRENA estimate,,2020
New Zealand,All technologies,3.767,,,2020
New Zealand,Biogas,,,,2020
New Zealand,CSP,,,,2020
New Zealand,Geothermal Energy,0.627,IRENA estimate,,2020
New Zealand,Hydropower,2.14,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
New Zealand,Liquid Biofuels,,,,2020
New Zealand,Municipal and industrial waste,,,,2020
New Zealand,Others,,,,2020
New Zealand,Solar Heating / Cooling,,,,2020
New Zealand,Solar Photovoltaic,,,,2020
New Zealand,Solid Biomass,,,,2020
New Zealand,"Tide, Wave and Ocean Energy",,,,2020
New Zealand,Wind Energy,1,IRENA estimate,,2020
Nicaragua,All technologies,7.245,,,2020
Nicaragua,Biogas,,,,2020
Nicaragua,CSP,,,,2020
Nicaragua,Geothermal Energy,1.2,IRENA focal point,,2020
Nicaragua,Hydropower,1.2,IRENA focal point,,2020
Nicaragua,Liquid Biofuels,,,,2020
Nicaragua,Municipal and industrial waste,,,,2020
Nicaragua,Others,,,,2020
Nicaragua,Solar Heating / Cooling,,,,2020
Nicaragua,Solar Photovoltaic,0.2,IRENA focal point,,2020
Nicaragua,Solid Biomass,2.7,IRENA focal point,,2020
Nicaragua,"Tide, Wave and Ocean Energy",,,,2020
Nicaragua,Wind Energy,1.945,IRENA focal point,,2020
Nigeria,All technologies,7.832,,,2020
Nigeria,Biogas,,,,2020
Nigeria,CSP,,,,2020
Nigeria,Geothermal Energy,,,,2020
Nigeria,Hydropower,7.782,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Nigeria,Liquid Biofuels,,,,2020
Nigeria,Municipal and industrial waste,,,,2020
Nigeria,Others,,,,2020
Nigeria,Solar Heating / Cooling,0.05,IRENA estimate,Based on employment factors and capacity data,2020
Nigeria,Solar Photovoltaic,,,,2020
Nigeria,Solid Biomass,,,,2020
Nigeria,"Tide, Wave and Ocean Energy",,,,2020
Nigeria,Wind Energy,,,,2020
North Macedonia,All technologies,1.121,,,2020
North Macedonia,Biogas,,,,2020
North Macedonia,CSP,,,,2020
North Macedonia,Geothermal Energy,,,,2020
North Macedonia,Hydropower,,,,2020
North Macedonia,Liquid Biofuels,,,,2020
North Macedonia,Municipal and industrial waste,,,,2020
North Macedonia,Others,,,,2020
North Macedonia,Solar Heating / Cooling,0.19,IRENA estimate,Based on employment factors and capacity data,2020
North Macedonia,Solar Photovoltaic,0.9,IRENA estimate,,2020
North Macedonia,Solid Biomass,,,,2020
North Macedonia,"Tide, Wave and Ocean Energy",,,,2020
North Macedonia,Wind Energy,0.031,IRENA estimate,,2020
Norway,All technologies,16.79079688,,,2020
Norway,Biogas,,,,2020
Norway,CSP,,,,2020
Norway,Geothermal Energy,,,,2020
Norway,Hydropower,9.437,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Norway,Liquid Biofuels,,,,2020
Norway,Municipal and industrial waste,,,,2020
Norway,Others,,,,2020
Norway,Solar Heating / Cooling,0.043796875,IRENA estimate,Based on employment factors and capacity data,2020
Norway,Solar Photovoltaic,0.16,IRENA estimate,,2020
Norway,Solid Biomass,2.35,INTPOW (2009),"The figure given in the source is for all bioenergy. Here, it is assigned to Solid Biomass",2020
Norway,"Tide, Wave and Ocean Energy",,,,2020
Norway,Wind Energy,4.8,IRENA estimate,,2020
Other,All technologies,162.83,,,2020
Other,Biogas,,,,2020
Other,CSP,,,,2020
Other,Geothermal Energy,,,,2020
Other,Hydropower,,,,2020
Other,Liquid Biofuels,,,,2020
Other,Municipal and industrial waste,,,,2020
Other,Others,,,,2020
Other,Solar Heating / Cooling,0.53,IRENA estimate,,2020
Other,Solar Photovoltaic,162.3,GOGLA and Vivid Economics (2018),,2020
Other,Solid Biomass,,,,2020
Other,"Tide, Wave and Ocean Energy",,,,2020
Other,Wind Energy,,,,2020
Pakistan,All technologies,68.866,,,2020
Pakistan,Biogas,1,IRENA estimate,,2020
Pakistan,CSP,,,,2020
Pakistan,Geothermal Energy,,,,2020
Pakistan,Hydropower,63.996,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Pakistan,Liquid Biofuels,,,,2020
Pakistan,Municipal and industrial waste,,,,2020
Pakistan,Others,,,,2020
Pakistan,Solar Heating / Cooling,1,IRENA estimate,Based on employment factors and capacity data,2020
Pakistan,Solar Photovoltaic,1.87,IRENA estimate,Based on employment factors and capacity data,2020
Pakistan,Solid Biomass,,,,2020
Pakistan,"Tide, Wave and Ocean Energy",,,,2020
Pakistan,Wind Energy,1,IRENA estimate,Based on employment factors and capacity data,2020
Panama,All technologies,0.2,,,2020
Panama,Biogas,,,,2020
Panama,CSP,,,,2020
Panama,Geothermal Energy,,,,2020
Panama,Hydropower,,,,2020
Panama,Liquid Biofuels,,,,2020
Panama,Municipal and industrial waste,,,,2020
Panama,Others,,,,2020
Panama,Solar Heating / Cooling,,,,2020
Panama,Solar Photovoltaic,,,,2020
Panama,Solid Biomass,,,,2020
Panama,"Tide, Wave and Ocean Energy",,,,2020
Panama,Wind Energy,0.2,IRENA estimate,Based on employment factors and capacity data,2020
Paraguay,All technologies,13.975,,,2020
Paraguay,Biogas,,,,2020
