country,technology,jobs (thousands),source,notes,year
Cambodia,Liquid Biofuels,,,,2020
Cambodia,Municipal and industrial waste,,,,2020
Cambodia,Others,,,,2020
Cambodia,Solar Heating / Cooling,,,,2020
Cambodia,Solar Photovoltaic,,,,2020
Cambodia,Solid Biomass,,,,2020
Cambodia,"Tide, Wave and Ocean Energy",,,,2020
Cambodia,Wind Energy,,,,2020
Canada,All technologies,79.87,,,2020
Canada,Biogas,,,,2020
Canada,CSP,,,,2020
Canada,Geothermal Energy,0.13,Natural Resources Canada (2021),Direct Jobs only.,2020
Canada,Hydropower,48.79,Natural Resources Canada (2021),"33,260 direct, 15,530 indirect, 16,340 induced",2020
Canada,Liquid Biofuels,13.03,Natural Resources Canada (2021),1.59k direct and 11.44k indirect,2020
Canada,Municipal and industrial waste,,,,2020
Canada,Others,,,,2020
Canada,Solar Heating / Cooling,0.03,Natural Resources Canada (2021),Solar thermal (may include CSP),2020
Canada,Solar Photovoltaic,3.03,Natural Resources Canada (2021),2.9k direct and 0.1k indirect,2020
Canada,Solid Biomass,2.82,Natural Resources Canada (2021),Direct Jobs only.,2020
Canada,"Tide, Wave and Ocean Energy",,,,2020
Canada,Wind Energy,12.04,Natural Resources Canada (2021),1.04k direct and 11k indirect,2020
Chile,All technologies,27.422,,,2020
Chile,Biogas,0,IRENA focal point,,2020
Chile,CSP,1.542,"Ministry of Energy, Chile; River Consultores (2016); Corporación de Bienes de Capital (2017)",,2020
Chile,Geothermal Energy,0.4,IRENA estimate,,2020
Chile,Hydropower,10.3,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Chile,Liquid Biofuels,,,,2020
Chile,Municipal and industrial waste,,,,2020
Chile,Others,,,,2020
Chile,Solar Heating / Cooling,0.25,IRENA estimate,Based on employment factors and capacity data,2020
Chile,Solar Photovoltaic,7.1,IRENA estimate,Based on employment factors and capacity data,2020
Chile,Solid Biomass,0.33,"Ministry of Energy, Chile; River Consultores (2016); Corporación de Bienes de Capital (2017) (estimates for constructing new plants planned for 2018 plus O&M from previous plants)",,2020
Chile,"Tide, Wave and Ocean Energy",0,IRENA focal point,,2020
Chile,Wind Energy,7.5,IRENA estimate,Based on employment factors and capacity data,2020
China,All technologies,4731.574,,,2020
China,Biogas,145,CNREC (2020),,2020
China,CSP,11,CNREC (2020),,2020
China,Geothermal Energy,3,CNREC (2020),,2020
China,Hydropower,813.574,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
China,Liquid Biofuels,51,CNREC (2020),,2020
China,Municipal and industrial waste,,,,2020
China,Others,,,,2020
China,Solar Heating / Cooling,670,CNREC (2020),,2020
China,Solar Photovoltaic,2300,ERI (2021),,2020
China,Solid Biomass,188,CNREC (2020),,2020
China,"Tide, Wave and Ocean Energy",,,,2020
China,Wind Energy,550,ERI (2021),,2020
Chinese Taipei,All technologies,21.705,,,2020
Chinese Taipei,Biogas,,,,2020
Chinese Taipei,CSP,,,,2020
Chinese Taipei,Geothermal Energy,,,,2020
Chinese Taipei,Hydropower,,,,2020
Chinese Taipei,Liquid Biofuels,,,,2020
Chinese Taipei,Municipal and industrial waste,,,,2020
Chinese Taipei,Others,,,,2020
Chinese Taipei,Solar Heating / Cooling,0.27,IRENA estimate,Based on employment factors and capacity data,2020
Chinese Taipei,Solar Photovoltaic,20.7,IRENA estimate,,2020
Chinese Taipei,Solid Biomass,,,,2020
Chinese Taipei,"Tide, Wave and Ocean Energy",,,,2020
Chinese Taipei,Wind Energy,0.735,IRENA estimate,Based on employment factors and capacity data,2020
Colombia,All technologies,266.306,,,2020
Colombia,Biogas,,,,2020
Colombia,CSP,,,,2020
Colombia,Geothermal Energy,,,,2020
Colombia,Hydropower,51.3,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Colombia,Liquid Biofuels,193.926,IRENA estimate,"111,676 jobs in ethanol and 82,250 jobs in biodiesel",2020
Colombia,Municipal and industrial waste,,,,2020
Colombia,Others,,,,2020
Colombia,Solar Heating / Cooling,,,,2020
Colombia,Solar Photovoltaic,0.36,IRENA focal point,,2020
Colombia,Solid Biomass,18.62,Ministerio de Minas y Energía (2015),,2020
Colombia,"Tide, Wave and Ocean Energy",,,,2020
Colombia,Wind Energy,2.1,IRENA focal point,,2020
Costa Rica,All technologies,1.344,,,2020
Costa Rica,Biogas,,,,2020
Costa Rica,CSP,0.002,IRENA focal point,,2020
Costa Rica,Geothermal Energy,0.103,IRENA focal point,,2020
Costa Rica,Hydropower,0.885,IRENA focal point,,2020
Costa Rica,Liquid Biofuels,,,,2020
Costa Rica,Municipal and industrial waste,,,,2020
Costa Rica,Others,,,,2020
Costa Rica,Solar Heating / Cooling,,,,2020
Costa Rica,Solar Photovoltaic,0.044,IRENA focal point,,2020
Costa Rica,Solid Biomass,0.01,IRENA focal point,,2020
Costa Rica,"Tide, Wave and Ocean Energy",,,,2020
Costa Rica,Wind Energy,0.3,IRENA Estimate,,2020
Croatia,All technologies,26.258,,,2020
Croatia,Biogas,2.2,EurObserv'ER (2020),,2020
Croatia,CSP,,,,2020
Croatia,Geothermal Energy,0.102,EurObserv'ER (2020),,2020
Croatia,Hydropower,2.1,EurObserv'ER (2020),,2020
Croatia,Liquid Biofuels,2.5,EurObserv'ER (2020),,2020
Croatia,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Croatia,Others,,,,2020
Croatia,Solar Heating / Cooling,0.2,EurObserv'ER (2020),,2020
Croatia,Solar Photovoltaic,0.056,IRENA estimate,,2020
Croatia,Solid Biomass,16.7,EurObserv'ER (2020),,2020
Croatia,"Tide, Wave and Ocean Energy",,,,2020
Croatia,Wind Energy,2.3,IRENA estimate,,2020
Cyprus,All technologies,1.94,,,2020
Cyprus,Biogas,0.1,EurObserv'ER (2020),,2020
Cyprus,CSP,,,,2020
Cyprus,Geothermal Energy,0.102,EurObserv'ER (2020),,2020
Cyprus,Hydropower,0.1,EurObserv'ER (2020),,2020
Cyprus,Liquid Biofuels,0.1,EurObserv'ER (2020),,2020
Cyprus,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2020
Cyprus,Others,,,,2020
Cyprus,Solar Heating / Cooling,0.3,EurObserv'ER (2020),,2020
Cyprus,Solar Photovoltaic,0.7,EurObserv'ER (2020),,2020
Cyprus,Solid Biomass,0.3,EurObserv'ER (2020),,2020
Cyprus,"Tide, Wave and Ocean Energy",,,,2020
Cyprus,Wind Energy,0.138,IRENA estimate,,2020
Czech Republic,All technologies,33.933,,,2020
Czech Republic,Biogas,4.1,EurObserv'ER (2020),,2020
Czech Republic,CSP,,,,2020
Czech Republic,Geothermal Energy,0.433,EurObserv'ER (2020),,2020
Czech Republic,Hydropower,1.3,EurObserv'ER (2020),,2020
Czech Republic,Liquid Biofuels,8,EurObserv'ER (2020),,2020
Czech Republic,Municipal and industrial waste,0.2,EurObserv'ER (2020),,2020
Czech Republic,Others,,,,2020
Czech Republic,Solar Heating / Cooling,0.2,EurObserv'ER (2020),,2020
Czech Republic,Solar Photovoltaic,1.7,IRENA estimate,,2020
Czech Republic,Solid Biomass,16.7,EurObserv'ER (2020),,2020
Czech Republic,"Tide, Wave and Ocean Energy",,,,2020
Czech Republic,Wind Energy,1.3,IRENA estimate,,2020
Congo (Kinshasa),All technologies,8.342,,,2020
Congo (Kinshasa),Biogas,,,,2020
Congo (Kinshasa),CSP,,,,2020
Congo (Kinshasa),Geothermal Energy,,,,2020
Congo (Kinshasa),Hydropower,8.342,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Congo (Kinshasa),Liquid Biofuels,,,,2020
Congo (Kinshasa),Municipal and industrial waste,,,,2020
Congo (Kinshasa),Others,,,,2020
Congo (Kinshasa),Solar Heating / Cooling,,,,2020
Congo (Kinshasa),Solar Photovoltaic,,,,2020
Congo (Kinshasa),Solid Biomass,,,,2020
Congo (Kinshasa),"Tide, Wave and Ocean Energy",,,,2020
Congo (Kinshasa),Wind Energy,,,,2020
Denmark,All technologies,45.925,,,2020
Denmark,Biogas,0.6,EurObserv'ER (2020),,2020
Denmark,CSP,,,,2020
Denmark,Geothermal Energy,0.225,EurObserv'ER (2020),,2020
Denmark,Hydropower,0.1,EurObserv'ER (2020),,2020
Denmark,Liquid Biofuels,0.7,EurObserv'ER (2020),,2020
Denmark,Municipal and industrial waste,0.6,EurObserv'ER (2020),,2020
Denmark,Others,,,,2020
Denmark,Solar Heating / Cooling,0.5,EurObserv'ER (2020),,2020
Denmark,Solar Photovoltaic,3,IRENA estimate,,2020
Denmark,Solid Biomass,5.3,EurObserv'ER (2020),,2020
Denmark,"Tide, Wave and Ocean Energy",,,,2020
Denmark,Wind Energy,34.9,IRENA estimate,,2020
Dominican Republic,All technologies,0.3,,,2020
Dominican Republic,Biogas,,,,2020
